customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,default,owns_car,tenure,Age,address,postcode,state,country,property_valuation,Valid_Address
32,Marion,Vanichkin,F,17.0,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,No,4.0,24.0,2951 Petterle Place,2756.0,NSW,Australia,9.0,1.0
33,Ernst,Hacon,M,44.0,1957-06-25,Product Engineer,,Affluent Customer,N,<script>alert('hi')</script>,Yes,11.0,62.0,63 Lukken Drive,2170.0,NSW,Australia,9.0,1.0
34,Jephthah,Bachmann,U,59.0,1843-12-21,Legal Assistant,IT,Affluent Customer,N,,No,20.0,176.0,833 Luster Way,4005.0,QLD,Australia,8.0,1.0
35,Margaretha,Strettle,F,40.0,1963-09-28,Information Systems Manager,Health,High Net Worth,N,!@#$%^&*(),Yes,16.0,56.0,34 Russell Plaza,4127.0,QLD,Australia,6.0,1.0
36,Lurette,Stonnell,F,33.0,1977-11-09,VP Quality Control,,Affluent Customer,N,"<>?:""{}|_+",No,22.0,42.0,78 Del Sol Hill,2535.0,NSW,Australia,8.0,1.0
37,Laurie,Dwerryhouse,F,46.0,1985-12-22,Social Worker,Health,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,16.0,34.0,54 Sage Plaza,4726.0,QLD,Australia,1.0,1.0
38,Cordi,Merman,F,37.0,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,"''''""",No,20.0,64.0,90 Lawn Parkway,4805.0,QLD,Australia,4.0,1.0
39,Hunfredo,Smalley,M,5.0,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,',No,22.0,40.0,38726 Ilene Crossing,2212.0,NSW,Australia,10.0,1.0
40,Tomasine,Jerche,F,91.0,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,14.0,38.0,3496 Brown Drive,2207.0,NSW,Australia,8.0,1.0
41,Basilius,Coupe,M,64.0,1976-04-14,Food Chemist,Health,Mass Customer,N,() { _; } >_[$($())] { touch /tmp/blns.shellshock2.fail; },No,16.0,43.0,7188 Cody Way,3350.0,VIC,Australia,9.0,1.0
42,Chiquita,Durnall,F,24.0,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,18.0,42.0,1 Claremont Park,3931.0,VIC,Australia,10.0,1.0
43,Indira,Belt,F,38.0,1983-03-01,Director of Sales,Retail,Mass Customer,N,â°â´âµ,No,5.0,36.0,60 Eagan Circle,4018.0,QLD,Australia,8.0,1.0
44,Neron,Verick,M,63.0,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,../../../../../../../../../../../etc/passwd%00,Yes,17.0,38.0,89314 Eagle Crest Center,4670.0,QLD,Australia,2.0,1.0
45,Trace,Woodhead,M,64.0,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,åè£½æ¼¢èª,No,8.0,44.0,2028 Lakewood Place,2480.0,NSW,Australia,3.0,1.0
46,Kaila,Allin,F,98.0,1972-02-26,,,Affluent Customer,N,â°â´âµâââ,Yes,15.0,47.0,70875 Hudson Point,3212.0,VIC,Australia,6.0,1.0
47,Matthew,Jeaycock,M,51.0,1992-10-22,Registered Nurse,Health,Affluent Customer,N,<script>alert('hi')</script>,No,2.0,27.0,543 Killdeer Park,2322.0,NSW,Australia,4.0,1.0
48,Rebbecca,Casone,F,46.0,1975-08-15,Biostatistician II,,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,8.0,44.0,22125 Ramsey Drive,3198.0,VIC,Australia,9.0,1.0
49,Nolly,Ownsworth,M,63.0,1994-01-26,VP Quality Control,,Affluent Customer,N,`ââ¬â¹âºï¬ï¬â¡Â°Â·ââÂ±,No,1.0,25.0,3107 Calypso Terrace,2210.0,NSW,Australia,9.0,1.0
50,Whitby,Schapero,M,38.0,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,0/0,Yes,16.0,39.0,957 Veith Junction,2047.0,NSW,Australia,10.0,1.0
51,Fidelio,Dilke,M,68.0,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18.0,60.0,4853 Gulseth Avenue,4503.0,QLD,Australia,5.0,1.0
52,Curran,Bentson,M,57.0,1988-06-22,,Financial Services,Mass Customer,N,1-Feb,Yes,13.0,31.0,9 Michigan Terrace,2145.0,NSW,Australia,8.0,1.0
53,Agnella,Gocke,F,22.0,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,1.00E+00,No,16.0,65.0,62 Steensland Road,4350.0,QLD,Australia,3.0,1.0
54,Loralyn,Wonfor,F,2.0,1966-07-24,Sales Associate,Property,Mass Customer,N,-0.5,Yes,18.0,53.0,6 Homewood Avenue,2142.0,NSW,Australia,8.0,1.0
55,Linc,Jillions,M,48.0,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,ZÌ®ÌÍÌ ÍÍAÌ¥ÌÌÍÌ»ÌLÌ£ÍÍÌ¯Ì¹ÌÍGÌ»OÌ­ÌÌ®,Yes,7.0,63.0,15 Almo Lane,2029.0,NSW,Australia,10.0,1.0
56,Reese,Ensor,M,44.0,1996-07-04,VP Sales,Property,Mass Customer,N,ã,Yes,4.0,23.0,690 Glacier Hill Circle,2127.0,NSW,Australia,10.0,1.0
57,Abba,Masedon,M,87.0,1988-06-13,Chief Design Engineer,,Mass Customer,N,1.00E+02,Yes,13.0,31.0,89787 Village Green Terrace,4280.0,QLD,Australia,6.0,1.0
58,Dalenna,Pinnock,F,26.0,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,1;DROP TABLE users,Yes,17.0,52.0,18 Elgar Park,2166.0,NSW,Australia,9.0,1.0
59,Niki,Heathcote,M,60.0,2000-02-08,Physical Therapy Assistant,,High Net Worth,N,-$1.00,No,3.0,19.0,413 Mayer Street,2046.0,NSW,Australia,9.0,1.0
60,Nadiya,Champerlen,F,18.0,1970-02-04,,Manufacturing,Mass Customer,N,á,No,10.0,49.0,39 3rd Drive,2026.0,NSW,Australia,10.0,1.0
61,Kacey,Rowbottom,F,47.0,1959-11-29,Help Desk Operator,Property,High Net Worth,N,-1,No,13.0,60.0,44516 Katie Parkway,2765.0,NSW,Australia,7.0,1.0
62,Sorcha,Roggers,F,38.0,1979-07-06,,IT,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,Yes,22.0,40.0,41 Schurz Center,2749.0,NSW,Australia,8.0,1.0
63,Ebony,Zini,F,58.0,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,00ËÆ$-,Yes,16.0,54.0,68150 Boyd Road,2745.0,NSW,Australia,9.0,1.0
64,Gerek,Yve,M,73.0,1978-03-25,Legal Assistant,IT,High Net Worth,N,ï¼ï¼ï¼,No,4.0,41.0,11474 Westend Hill,3752.0,VIC,Australia,8.0,1.0
65,Yale,Tanser,M,21.0,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,1/0,Yes,15.0,43.0,308 Jana Crossing,2153.0,NSW,Australia,10.0,1.0
66,Anselm,Gawne,M,46.0,2002-03-11,Account Executive,Argiculture,High Net Worth,N,ï½ï½¨(Â´âï½â©,No,1.0,17.0,163 Straubel Trail,2217.0,NSW,Australia,10.0,1.0
67,Vernon,,M,67.0,1960-06-14,Web Developer II,Retail,Mass Customer,N,<svg><script>0<1>alert('XSS')</script>,No,18.0,59.0,68294 Clarendon Crossing,2230.0,NSW,Australia,10.0,1.0
68,Dahlia,Eddoes,F,37.0,1974-04-21,Information Systems Manager,,Affluent Customer,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,9.0,45.0,486 Mariners Cove Plaza,3046.0,VIC,Australia,7.0,1.0
69,Heidi,Milner,F,16.0,1969-06-22,Web Developer II,,Mass Customer,N,0/0,No,6.0,50.0,0322 Dryden Court,3183.0,VIC,Australia,7.0,1.0
70,Foster,Vannoort,M,78.0,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,ð,No,8.0,26.0,9 Bonner Road,2070.0,NSW,Australia,12.0,1.0
71,Hoyt,Glavias,M,30.0,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,ï½ï½¨(Â´âï½â©,Yes,12.0,34.0,07041 Briar Crest Lane,2213.0,NSW,Australia,10.0,1.0
72,Sammy,Cheese,M,93.0,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,$1.00,Yes,16.0,47.0,29466 Hanson Pass,4208.0,QLD,Australia,6.0,1.0
73,Minette,Worters,F,16.0,1960-05-27,Teacher,,Affluent Customer,N,âââ,Yes,5.0,59.0,0212 Forest Run Trail,2774.0,NSW,Australia,8.0,1.0
74,Pansy,Kiddie,F,94.0,1969-06-19,,,Mass Customer,N,ã»(ï¿£âï¿£)ã»:*:,Yes,6.0,50.0,33055 Menomonie Parkway,4133.0,QLD,Australia,8.0,1.0
75,Dollie,Sealy,F,28.0,1978-07-15,VP Product Management,Property,Mass Customer,N,",ãã»:*:ã»ãâ( â» Ï â» )ãã»:*:ã»ãâ",No,19.0,41.0,4763 Merchant Avenue,2756.0,NSW,Australia,8.0,1.0
76,Rea,Hasser,F,20.0,1978-01-23,Statistician II,Retail,High Net Worth,N,â¢,Yes,18.0,41.0,439 Ridgeway Court,4213.0,QLD,Australia,9.0,1.0
77,Shermie,Andrin,M,79.0,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,1;DROP TABLE users,No,7.0,30.0,2 Clyde Gallagher Lane,4170.0,QLD,Australia,5.0,1.0
78,Arch,Van der Kruis,M,37.0,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,-1.00E+02,No,8.0,34.0,97455 Loeprich Lane,2153.0,NSW,Australia,9.0,1.0
79,Tybi,Silliman,F,76.0,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,ãã¼ãã£ã¼ã¸è¡ããªãã,No,18.0,51.0,9527 Ridgeway Street,2073.0,NSW,Australia,10.0,1.0
80,Pablo,Small,M,11.0,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,nil,No,13.0,41.0,7 Jackson Point,3561.0,VIC,Australia,1.0,1.0
81,Bee,Blazewicz,F,58.0,1986-09-04,,Health,High Net Worth,N,â¢,No,13.0,33.0,74 Anniversary Junction,2330.0,NSW,Australia,6.0,1.0
82,Gleda,Cokely,F,93.0,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,ç°ä¸­ããã«ããã¦ä¸ãã,No,19.0,54.0,2083 Spaight Court,3977.0,VIC,Australia,8.0,1.0
83,Kerr,Simmell,M,97.0,1967-02-26,Internal Auditor,IT,Mass Customer,N,ðµ ð ð ð,Yes,18.0,52.0,2796 Caliangt Circle,2204.0,NSW,Australia,12.0,1.0
84,Rich,Mathiasen,M,78.0,1958-02-07,Accountant III,,Mass Customer,N,ì¬íê³¼íì ì´íì°êµ¬ì,Yes,14.0,61.0,96061 Ludington Place,2086.0,NSW,Australia,11.0,1.0
85,Kane,Tixall,M,1.0,1958-05-21,Analyst Programmer,,Mass Customer,N,NIL,No,8.0,61.0,5037 Merchant Crossing,2226.0,NSW,Australia,11.0,1.0
86,Job,Sleney,M,75.0,1989-03-04,Occupational Therapist,Health,High Net Worth,N,1,Yes,7.0,30.0,289 Haas Street,2075.0,NSW,Australia,11.0,1.0
87,Fields,Langdon,M,78.0,1974-04-23,Editor,Financial Services,Mass Customer,N,"__ï¾(,_,*)",No,8.0,45.0,4423 Bartelt Parkway,2038.0,NSW,Australia,12.0,1.0
88,Malynda,Tumber,F,41.0,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Ù¡Ù¢Ù£,Yes,7.0,53.0,5 Grim Center,2069.0,NSW,Australia,12.0,1.0
89,Benedicto,Hoxey,M,74.0,1967-01-22,Speech Pathologist,Health,Mass Customer,N,() { 0; }; touch /tmp/blns.shellshock1.fail;,Yes,14.0,52.0,73042 Roth Crossing,2100.0,NSW,Australia,11.0,1.0
90,Cary,Garron,M,76.0,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,!@#$%^&*(),No,11.0,35.0,171 Fordem Junction,2233.0,NSW,Australia,10.0,1.0
91,Dylan,Meaker,M,69.0,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,0ï¸â£ 1ï¸â£ 2ï¸â£ 3ï¸â£ 4ï¸â£ 5ï¸â£ 6ï¸â£ 7ï¸â£ 8ï¸â£ 9ï¸â£ ð,Yes,17.0,64.0,2640 Manley Point,2166.0,NSW,Australia,9.0,1.0
92,Jodee,Judkins,F,98.0,1980-09-11,Recruiting Manager,Health,Mass Customer,N,âââ,No,12.0,39.0,3 Hintze Pass,3133.0,VIC,Australia,10.0,1.0
93,Gordon,Gowar,M,63.0,1976-07-16,Project Manager,Retail,Mass Customer,N,0/0,Yes,10.0,43.0,2 Mcbride Road,3070.0,VIC,Australia,10.0,1.0
94,Wallache,Simchenko,M,33.0,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,(ï¾à²¥çà²¥ï¼ï¾ï»¿ â»ââ»,No,21.0,45.0,67234 Transport Hill,2777.0,NSW,Australia,7.0,1.0
95,Nomi,Mallinder,F,67.0,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,"Ø«Ù ÙÙØ³ Ø³ÙØ·Øª ÙØ¨Ø§ÙØªØ­Ø¯ÙØ¯Ø, Ø¬Ø²ÙØ±ØªÙ Ø¨Ø§Ø³ØªØ®Ø¯Ø§Ù Ø£Ù Ø¯ÙÙ. Ø¥Ø° ÙÙØ§Ø Ø§ÙØ³ØªØ§Ø± ÙØªÙØµÙØ¨ ÙØ§Ù. Ø£ÙÙÙ Ø§ÙØ·Ø§ÙÙØ§Ø Ø¨Ø±ÙØ·Ø§ÙÙØ§-ÙØ±ÙØ³Ø§ ÙØ¯ Ø£Ø®Ø°. Ø³ÙÙÙØ§ÙØ Ø¥ØªÙØ§ÙÙØ© Ø¨ÙÙ ÙØ§, ÙØ°ÙØ± Ø",Yes,8.0,59.0,72 Dorton Crossing,3133.0,VIC,Australia,10.0,1.0
96,Heath,Olford,M,33.0,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,åè£½æ¼¢èª,No,15.0,51.0,6 Heffernan Center,2125.0,NSW,Australia,11.0,1.0
97,Arne,Corain,M,16.0,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,../../../../../../../../../../../etc/hosts,Yes,10.0,40.0,6088 Roxbury Hill,2766.0,NSW,Australia,8.0,1.0
98,Allianora,Babalola,F,19.0,1956-03-17,Safety Technician IV,Health,Mass Customer,N,,No,7.0,63.0,105 Shelley Alley,2209.0,NSW,Australia,10.0,1.0
99,Reggie,Mulliner,M,97.0,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,Ì¦HÍÌ¬Ì¤ÌÌ¤eÍ ÍÌÌ¥ÌÌ»ÍÌwÌhÌÌ¯ÍoÌÍÌÍÌ±Ì® ÒÌºÌÌÌÍWÌ·Ì¼Ì­aÌºÌªÍiÌ¨ÍÍÌ­ÍÌ¯ÌtÌ¶Ì¼Ì®sÌÌÍÍ Ì Ì«Ì BÌ»ÍÍÍÍÌ³eÌµhÌµÌ¬ÍÌ«ÍiÌÌ¹ÍÌ³Ì³Ì®ÍÌ«nÍdÌ´ÌªÌÌ ÍÌ°ÍÌ©ÍÍÍÌ²TÍ¢ÍÌ¼ÍÌªhÍÍÌ®Ì»eÌ¬ÌÍÌ Ì¤Ì¹ÌWÍÍÍÌÌÍÍaÍÍÍÌ¹Ì¼,No,3.0,21.0,079 Merry Park,2160.0,NSW,Australia,9.0,1.0
100,Tripp,Steed,M,80.0,1968-05-11,General Manager,Financial Services,Mass Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,4.0,51.0,8722 Summit Alley,2065.0,NSW,Australia,12.0,1.0
101,Goran,Kwietek,M,83.0,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,<img src=x onerror=alert('hi') />,No,11.0,44.0,9554 Artisan Pass,2150.0,NSW,Australia,10.0,1.0
102,Langsdon,Tranfield,M,51.0,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,×Ö¸×Ö°×ªÖ¸×testØ§ÙØµÙØ­Ø§Øª Ø§ÙØªÙØ­ÙÙ,No,16.0,63.0,55850 Butterfield Road,2168.0,NSW,Australia,9.0,1.0
103,Ethyl,Runham,F,49.0,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,ã½à¼¼àºÙÍàºà¼½ï¾ ã½à¼¼àºÙÍàºà¼½ï¾,Yes,4.0,22.0,68 Little Fleur Crossing,2046.0,NSW,Australia,12.0,1.0
104,Odille,Panketh,F,40.0,1978-06-06,Automation Specialist II,Health,Mass Customer,N,1;DROP TABLE users,Yes,9.0,41.0,85688 New Castle Crossing,4171.0,QLD,Australia,10.0,1.0
105,Maribeth,Pristnor,F,25.0,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,"<>?:""{}|_+",No,1.0,18.0,8611 Loomis Lane,2155.0,NSW,Australia,10.0,1.0
106,Glyn,,M,54.0,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,ãã¼ãã£ã¼ã¸è¡ããªãã,Yes,18.0,53.0,7909 Pierstorff Crossing,2517.0,NSW,Australia,9.0,1.0
107,Pris,Stallebrass,F,97.0,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,ï½ï½¨(Â´âï½â©,Yes,9.0,29.0,01 Muir Parkway,2096.0,NSW,Australia,12.0,1.0
108,Kayle,Mingaud,F,4.0,1994-03-14,,,High Net Worth,N,âð¿ ðªð¿ ðð¿ ðð¿ ðð¿ ðð¿,No,3.0,25.0,0410 Division Junction,2750.0,NSW,Australia,8.0,1.0
109,Cody,Blabey,M,16.0,1978-12-11,Marketing Assistant,,Affluent Customer,N,1.00E+02,Yes,4.0,41.0,41 Service Lane,2217.0,NSW,Australia,11.0,1.0
110,Sascha,St. Quintin,M,23.0,2000-07-31,,Financial Services,Affluent Customer,N,TÌÌ­ÌºÌºoÍ Ì·iÌ²Ì¬ÍÌªÍnÌÌÍvÍÌÌÌÌ¦oÌ¶ÌÌ°Ì keÍÍÌ®ÌºÌªÌ¹Ì±Ì¤ ÌtÍÌÍÌ³Ì£Ì»ÌªhÌ¼ÍÌ²Ì¦Ì³ÌÌ²eÍÌ£Ì°Ì¦Ì¬Í Ì¢Ì¼Ì»Ì±ÌhÍÍÍÍÌÌ£Ì²iÌ¦Ì²Ì£Ì°Ì¤vÌ»ÍeÌºÌ­Ì³ÌªÌ°-mÌ¢iÍnÌÌºÌÌ²Ì¯Ì°dÌµÌ¼ÌÍÌ©Ì¼ÌÌ³ ÌÌ¥Ì±Ì³Ì­rÌÌÌeÍpÍ rÌ¼ÌÌ»Ì­ÌeÍÌºÌ Ì£sÌ,No,1.0,19.0,5 Moose Road,3977.0,VIC,Australia,8.0,1.0
111,Cele,Evason,F,65.0,1993-08-29,Analyst Programmer,,Mass Customer,N,ÃÃÃÃËÃÃï£¿ÃÃÃâ,No,2.0,26.0,7342 Fieldstone Junction,2093.0,NSW,Australia,12.0,1.0
112,Shena,Parren,F,88.0,1975-08-12,Marketing Manager,Retail,High Net Worth,N,Î©âÃ§ââ«ËÂµâ¤â¥Ã·,No,12.0,44.0,0 David Terrace,3204.0,VIC,Australia,11.0,1.0
113,Gage,Nickless,M,67.0,1956-05-06,Staff Scientist,,Mass Customer,N,(ï½¡â â âï½¡),No,20.0,63.0,15239 Northwestern Point,4300.0,QLD,Australia,4.0,1.0
114,Sunny,Swindells,F,10.0,1985-10-23,Teacher,Entertainment,Affluent Customer,N,-1.00E+02,No,8.0,34.0,60 Oneill Street,2170.0,NSW,Australia,9.0,1.0
115,Alberik,Mereweather,M,77.0,1981-12-21,Account Executive,Health,Mass Customer,N,,No,18.0,38.0,8194 Sachtjen Drive,3844.0,VIC,Australia,1.0,1.0
116,Scottie,Swiffen,M,49.0,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,ð¾ ð ð ð ð ð ð ð§,Yes,2.0,20.0,0349 Farmco Terrace,2168.0,NSW,Australia,8.0,1.0
